p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,url
5.0,1.0,0.0,0.0,0.0,0.0,0.5605,0.0,0.0,1.0,0.0,http://www.cstri.res.in
5.0,1.0,1.0,0.0,14.0,1.0,141.0312,98.4905,3.0,14.0,2.0,http://mpcdf.nic.in
5.0,1.0,7.2,0.0,10.0,50.0,1900.0771,87.0778,52.0,10.0,12.0,http://muktsar.gov.in
6.0,0.0,0.0,0.0,0.0,0.0,0.5469,0.0,0.0,1.0,0.0,http://aphe.gov.in
6.0,0.0,0.0,0.0,7.0,0.0,0.6191,0.0,0.0,1.0,1.0,http://orissafilm.nic.in
6.0,0.0,0.1667,1.0,0.0,0.0,0.7715,0.0,0.0,1.0,0.0,http://nhpc.gov.in
6.0,0.0,0.3333,0.0,2.0,0.0,0.7744,0.0,1.0,3.0,0.0,http://manipurwomencommission.gov.in
6.0,0.0,0.3333,0.0,20.0,1.0,13.5996,67.6433,3.0,4.0,1.0,http://nirmithi.kerala.gov.in
6.0,0.0,1.0,0.0,29.0,3.0,200.1553,98.4168,13.0,9.0,4.0,http://www.boatnr.org
6.0,0.0,1.5,0.0,11.0,1.0,174.0527,93.8018,16.0,7.0,7.0,http://translations.kar.nic.in
6.0,1.0,0.0,0.0,0.0,0.0,0.9131,0.0,0.0,1.0,0.0,http://ijp.telangana.gov.in
6.0,1.0,0.0,0.0,0.0,0.0,0.916,0.0,0.0,3.0,0.0,http://rdagoa.nic.in
6.0,1.0,0.1667,0.0,0.0,0.0,0.2656,0.0,0.0,1.0,0.0,http://www.tmepma.cgg.gov.in
7.0,0.0,0.0,0.0,0.0,0.0,0.2979,0.0,0.0,1.0,0.0,http://ocfs.gov.in
7.0,0.0,0.0,0.0,0.0,2.0,18.4775,94.0331,1.0,4.0,0.0,http://www.visva-bharati.ac.in
7.0,0.0,0.0,0.0,2.0,0.0,1.166,0.0,1.0,2.0,1.0,http://chandigarhtrafficpolice.org
7.0,0.0,0.0,0.0,4.0,1.0,65.0928,94.9291,3.0,6.0,0.0,http://ofkanpur.gov.in
7.0,0.0,0.0,1.0,7.0,1.0,2.4746,0.0,0.0,1.0,0.0,http://www.mpswc.nic.in
7.0,1.0,0.0,0.0,0.0,0.0,0.2559,0.0,0.0,1.0,0.0,http://edistrict.tn.gov.in
7.0,1.0,0.0,0.0,0.0,1.0,0.4297,0.0,0.0,1.0,0.0,http://dteassam.in
